dataset,method,seed,clean_acc,k0_acc,k1_acc
cicids2017,curriculum,base,80.29,73.11,69.72
cicids2017,curriculum,42,69.36,37.54,30.97
cicids2017,curriculum,43,48.75,24.39,20.97
cicids2017,curriculum,44,89.81,74.96,72.72
cicids2017,curriculum,45,89.21,71.94,53.68
cicids2017,curriculum,46,89.81,75.61,71.63
cicids2017,curriculum,47,89.68,83.54,61.16
cicids2017,curriculum,48,89.58,54.05,43.31
cicids2017,curriculum,49,89.79,80.56,77.13
cicids2017,curriculum,50,89.8,84.09,61.36
cicids2017,curriculum,51,89.86,74.78,69.86
cicids2017,curriculum,52,89.61,84.83,79.28
cicids2017,curriculum,53,89.71,81.26,77.0
cicids2017,curriculum,54,89.56,81.27,66.16
nsl_kdd,curriculum,base,80.86,75.7,24.5
nsl_kdd,curriculum,42,81.05,75.89,21.69
nsl_kdd,curriculum,43,76.26,75.72,17.5
nsl_kdd,curriculum,44,76.08,75.85,28.38
unsw_nb15,curriculum,base,98.61,98.36,94.38
unsw_nb15,curriculum,42,98.76,81.78,78.03
unsw_nb15,curriculum,43,98.61,98.55,98.05
unsw_nb15,curriculum,44,98.61,98.32,97.62
cicids2017,hardened,base,80.55,65.63,63.42
cicids2017,hardened,42,80.73,36.22,33.45
cicids2017,hardened,43,79.8,59.86,50.56
cicids2017,hardened,44,80.46,68.08,64.42
cicids2017,hardened,45,80.44,64.03,35.45
cicids2017,hardened,46,80.6,62.99,56.34
cicids2017,hardened,47,80.43,68.98,66.35
cicids2017,hardened,48,80.6,68.05,65.91
cicids2017,hardened,49,80.27,66.91,63.6
cicids2017,hardened,50,80.48,65.32,57.09
cicids2017,hardened,51,80.25,69.15,66.7
cicids2017,hardened,52,80.24,69.43,52.33
cicids2017,hardened,53,80.6,67.33,63.94
cicids2017,hardened,54,80.51,63.53,62.21
nsl_kdd,hardened,base,76.28,72.01,0.09
nsl_kdd,hardened,42,78.45,74.68,8.43
nsl_kdd,hardened,43,85.75,74.59,12.58
nsl_kdd,hardened,44,78.92,75.46,23.18
unsw_nb15,hardened,base,98.62,97.33,94.11
unsw_nb15,hardened,42,98.76,98.31,97.09
unsw_nb15,hardened,43,98.61,97.55,94.84
unsw_nb15,hardened,44,98.75,96.95,94.49
cicids2017,rsc,base,89.54,83.51,71.07
cicids2017,rsc,42,80.77,71.37,70.05
cicids2017,rsc,43,80.54,75.13,69.97
cicids2017,rsc,44,80.53,60.2,46.29
cicids2017,rsc,45,89.81,81.63,77.18
cicids2017,rsc,46,89.77,81.08,75.92
cicids2017,rsc,47,89.86,76.11,67.15
cicids2017,rsc,48,89.83,78.19,62.88
cicids2017,rsc,49,89.79,66.51,43.38
cicids2017,rsc,50,89.84,69.02,47.61
cicids2017,rsc,51,80.61,72.58,65.76
cicids2017,rsc,52,89.81,56.23,39.5
cicids2017,rsc,53,89.78,76.83,49.58
cicids2017,rsc,54,80.51,71.95,68.42
nsl_kdd,rsc,base,85.09,75.88,15.01
nsl_kdd,rsc,42,85.79,77.24,0.81
nsl_kdd,rsc,43,83.14,77.46,1.34
nsl_kdd,rsc,44,85.75,80.77,6.33
unsw_nb15,rsc,base,98.75,98.46,97.34
unsw_nb15,rsc,42,98.77,98.46,97.2
unsw_nb15,rsc,43,98.76,98.08,91.34
unsw_nb15,rsc,44,98.77,98.4,93.98
